City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
514,stephenville,32.2207,-98.2023,303.8,78,75,3.09,US,1686177219
515,malvan,16.0667,73.4667,301.81,82,39,3.0,IN,1686177219
516,salem,11.65,78.1667,298.98,79,100,1.37,IN,1686176953
517,aegina,37.7467,23.4275,298.12,67,100,2.0,GR,1686177220
518,vovchans'k,50.3003,36.9467,290.82,74,81,1.87,UA,1686177220
519,upington,-28.4478,21.2561,284.36,37,0,0.0,ZA,1686177013
520,sisimiut,66.9395,-53.6735,273.46,69,100,2.38,GL,1686177076
521,ouesso,1.6136,16.0517,295.07,96,47,1.27,CG,1686177220
522,kill devil hills,36.0307,-75.676,294.15,77,100,0.0,US,1686177220
523,fukuecho,32.6881,128.8419,292.17,90,100,5.93,JP,1686177220
524,podilsk,47.7578,29.5298,288.11,54,100,1.91,UA,1686177221
525,aral,40.5156,81.2636,299.1,18,100,4.0,CN,1686177221
526,changling,44.2653,124.0005,290.93,67,0,1.34,CN,1686177221
527,vicente guerrero,19.1194,-98.1708,291.81,59,84,1.46,MX,1686177221
528,pacific grove,36.6177,-121.9166,292.6,73,100,4.47,US,1686177221
529,villa de soto,-30.8552,-64.9995,292.82,75,88,2.55,AR,1686177221
530,leava,-14.3,-178.1667,300.84,72,84,2.51,WF,1686177222
531,ilha solteira,-20.4328,-51.3425,293.79,51,0,0.49,BR,1686177222
532,ponta delgada,37.7333,-25.6667,291.55,68,20,1.54,PT,1686177222
533,prado,-17.3411,-39.2208,294.94,78,5,2.41,BR,1686177222
534,cape coast,5.1053,-1.2466,298.78,85,90,3.94,GH,1686177222
535,chakradharpur,22.7,85.6333,302.81,25,63,1.46,IN,1686177222
536,gharghoda,22.1667,83.35,302.19,31,29,1.71,IN,1686177223
537,marica,-22.9194,-42.8186,295.1,81,0,3.85,BR,1686177223
538,villa general belgrano,-31.9754,-64.5559,287.96,85,84,2.1,AR,1686177223
539,hun,29.1268,15.9477,295.36,50,67,4.9,LY,1686177223
540,puerto lempira,15.2667,-83.7667,301.23,74,75,3.6,HN,1686177096
541,filipstad,59.7124,14.1683,285.01,69,3,2.33,SE,1686177223
542,wundanyi,-3.4019,38.364,288.44,86,3,2.42,KE,1686177224
543,el-tor,28.2364,33.6254,299.23,65,0,3.6,EG,1686177224
544,iskushuban,10.2837,50.23,302.64,55,100,6.96,SO,1686177224
545,curup,-3.4667,102.5333,292.85,98,60,1.09,ID,1686177224
546,masvingo,-20.0637,30.8277,288.04,61,0,2.39,ZW,1686177224
547,kingston,17.997,-76.7936,303.68,73,20,9.77,JM,1686177057
548,nuevitas,21.5453,-77.2644,297.42,94,100,3.35,CU,1686177225
549,kargopol',61.5071,38.9456,276.45,95,34,1.73,RU,1686177225
550,ariquemes,-9.9133,-63.0408,297.37,89,78,1.52,BR,1686177068
551,sittwe,20.15,92.9,299.76,87,100,3.29,MM,1686177225
552,usinsk,65.9939,57.5281,275.3,77,51,4.1,RU,1686177225
553,zhangye,38.9342,100.4517,293.39,18,8,3.08,CN,1686177225
554,kete krachi,7.7939,-0.0498,299.76,80,70,6.58,GH,1686177226
555,pierre,44.3683,-100.351,307.19,31,0,2.57,US,1686177226
556,suva,-18.1416,178.4415,293.86,94,75,3.6,FJ,1686177226
557,tafuna,-14.3358,-170.72,300.12,94,100,5.14,AS,1686177227
558,pahrump,36.2083,-115.9839,297.56,35,82,2.68,US,1686177227
559,ishim,56.1128,69.4902,288.13,93,93,6.46,RU,1686177136
560,kidal,18.4411,1.4078,306.96,14,36,3.29,ML,1686177227
561,tataouine,32.9297,10.4518,293.82,69,68,1.85,TN,1686177227
562,baardheere,2.3446,42.2764,298.28,79,96,5.86,SO,1686177227
563,kataba,13.9833,44.3833,293.49,49,61,0.88,YE,1686177228
564,sechura,-5.5569,-80.8222,300.13,63,49,6.89,PE,1686177228
565,port lincoln,-34.7333,135.8667,287.54,69,21,8.62,AU,1686177228
566,gerash,27.6652,54.1371,300.76,26,46,0.84,IR,1686177228
567,melekeok village,7.4957,134.6367,298.46,94,75,1.54,PW,1686177228
568,xining,36.6167,101.7667,285.46,57,99,1.28,CN,1686177229
569,mirny,62.5353,113.9611,283.28,66,96,0.89,RU,1686177229
570,verkhnevilyuysk,63.4453,120.3167,286.37,48,99,0.17,RU,1686177229
571,holmsund,63.706,20.3641,282.56,81,0,1.03,SE,1686176932
572,stornoway,58.2093,-6.3865,283.2,82,22,2.06,GB,1686177229
573,khorinsk,52.1657,109.7726,286.99,41,77,1.65,RU,1686177230
574,kiuruvesi,63.65,26.6167,277.9,71,80,1.48,FI,1686177230
575,tynda,55.1667,124.7167,285.29,92,84,2.9,RU,1686177230
576,orchard homes,46.8633,-114.0484,304.23,35,0,2.57,US,1686177230
577,pasuquin,18.3328,120.6177,298.12,100,40,2.06,PH,1686177230
578,coreau,-3.5333,-40.6567,297.41,81,48,0.72,BR,1686177231
579,mossel bay,-34.1831,22.146,284.11,72,77,3.14,ZA,1686177231
